name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kampala,2021-11-01T00:00:00,23.9,23.9,20,78.81,0,0,,,,,0,0,1015,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T01:00:00,24,24,20,78.35,0,0,,,,,0,0,1015,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T02:00:00,24,24,20,78.35,0,0,,,,,0,0,1015,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T03:00:00,21,21,19.8,92.62,0,0,,,,,0,0,1014,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T04:00:00,21,21,20,94.02,0,0,,,,,0,0,1015,95.9,10,0,0,0,,Overcast,cloudy,"63705099999,HUEN"
Kampala,2021-11-01T05:00:00,21,21,20,94.02,0,0,,,,,9.4,360,1015,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T06:00:00,21,21,19.8,92.9,0,0,,,,,0,0,1016,51.6,10,0.6,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T07:00:00,21,21,20,94.02,0,0,,,,,0,0,1016,27.4,10,52.4,0.2,1,,Partially cloudy,partly-cloudy-day,"63705099999,HUEN"
Kampala,2021-11-01T08:00:00,21,21,20,94.02,0,0,,,,,0,0,1017,27.4,10,148.7,0.5,1,,Partially cloudy,partly-cloudy-day,"63705099999,HUEN"
Kampala,2021-11-01T09:00:00,22.8,22.8,19.4,80.89,0,0,,,,,0,336,1018,88.5,5.3,258.8,0.9,3,,Partially cloudy,partly-cloudy-day,"63682099999,63705099999,HUEN,63680099999"
Kampala,2021-11-01T10:00:00,23,23,20,83.22,0,0,,,,,9.4,340,1018,27.4,10,390.4,1.4,4,,Partially cloudy,partly-cloudy-day,"63705099999,HUEN"
Kampala,2021-11-01T11:00:00,24.6,24.6,18.1,67.13,0.1,100,rain,,,,7.9,86.1,,95,,508.8,1.8,5,,"Rain, Overcast",rain,remote
Kampala,2021-11-01T12:00:00,25.2,25.2,20.6,75.7,0,0,,,,,17.6,153,1017,54.5,11,595,2.1,6,,Partially cloudy,partly-cloudy-day,"63682099999,63705099999,HUEN"
Kampala,2021-11-01T13:00:00,26,26,20,69.55,0,0,,,,,22.3,150,1017,27.4,10,575.8,2.1,6,,Partially cloudy,partly-cloudy-day,"63705099999,HUEN"
Kampala,2021-11-01T14:00:00,25,25,17.6,63.51,0,0,,,,,11.2,129.2,,95.3,,498.3,1.8,5,,Overcast,cloudy,remote
Kampala,2021-11-01T15:00:00,24.9,24.9,17.9,65.1,0,0,,,,,0.9,169,1015,58.8,10,380.5,1.4,4,,Partially cloudy,partly-cloudy-day,"63682099999,63705099999,HUEN,63680099999"
Kampala,2021-11-01T16:00:00,25,25,19,69.36,0,0,,,,,14.8,180,1014,27.4,10,224.6,0.8,2,,Partially cloudy,partly-cloudy-day,"63705099999,HUEN"
Kampala,2021-11-01T17:00:00,24.1,24.1,17.8,67.88,0,0,,,,,11.2,166.1,,94.8,,99.8,0.4,1,,Overcast,cloudy,remote
Kampala,2021-11-01T18:00:00,26,26,18,61.39,0,0,,,,,9.4,180,1015,27.4,10,19.8,0.1,0,,Partially cloudy,partly-cloudy-day,"63705099999,HUEN"
Kampala,2021-11-01T19:00:00,24,24,19,73.63,0,0,,,,,9.4,180,1015,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T20:00:00,24,24,19,73.63,0,0,,,,,0,0,1015,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T21:00:00,23,23,19,77.98,0,0,,,,,0,0,1016,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T22:00:00,23,23,19,78.21,0,0,,,,,0,0,1016,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-01T23:00:00,22.5,22.5,17.8,74.77,0,0,,,,,14.8,197,,77.5,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Kampala,2021-11-02T00:00:00,22,22,20.1,88.97,0,0,,,,,0,0,1016,27.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-02T01:00:00,22.3,22.3,17.5,74.26,0,0,,,,,11.2,209,,79.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Kampala,2021-11-02T02:00:00,22.3,22.3,17.3,73.33,0.1,100,rain,,,,8.3,227.8,,75.5,,0,0,0,,"Rain, Partially cloudy",rain,remote
Kampala,2021-11-02T03:00:00,21.2,21.2,18.7,85.65,0,0,,,,,14.8,270,,40,10,0,0,0,,Partially cloudy,partly-cloudy-night,63705099999
Kampala,2021-11-02T04:00:00,22.1,22.1,17.2,73.76,0.4,100,rain,,,,6.5,280.7,,66.5,,0,0,0,,"Rain, Partially cloudy",rain,remote
Kampala,2021-11-02T05:00:00,20,20,19,93.97,0,0,,,,,14.8,270,1016,89,,0,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-02T06:00:00,20.2,20.2,19,92.58,0,0,,,,,11.2,300,1016,74.5,10,0.7,0,0,,Partially cloudy,partly-cloudy-night,"63705099999,HUEN"
Kampala,2021-11-02T07:00:00,20,20,19,93.97,0,0,,,,,3.6,300,1016,27.4,10,66.5,0.2,1,,Partially cloudy,partly-cloudy-day,"63705099999,HUEN"
Kampala,2021-11-02T08:00:00,21,21,19,88.35,0,0,,,,,0,0,1017,27.4,10,236.1,0.8,2,,Partially cloudy,partly-cloudy-day,"63705099999,HUEN"
Kampala,2021-11-02T09:00:00,22.9,22.9,17.6,72.06,1.8,100,rain,,,,5,25.3,,49.2,,428.6,1.5,4,,"Rain, Partially cloudy",rain,remote
Kampala,2021-11-02T10:00:00,22.1,22.1,20.1,88.44,0,0,,,,,0,46.9,1019,30,9,580.3,2.1,6,,Partially cloudy,partly-cloudy-day,63705099999
Kampala,2021-11-02T11:00:00,22.1,22.1,20.1,88.44,0,0,,,,,27.7,120,1019,50,10,675.3,2.4,7,,Partially cloudy,partly-cloudy-day,63705099999
Kampala,2021-11-02T12:00:00,21.1,21.1,20.1,94.02,0,0,,,,,27.7,170,1019,90,10,695,2.5,7,,Partially cloudy,partly-cloudy-day,63705099999
Kampala,2021-11-02T13:00:00,22.1,22.1,19.1,83.11,0,0,,,,,27.7,180,1017,30,10,662,2.4,7,,Partially cloudy,partly-cloudy-day,63705099999
Kampala,2021-11-02T14:00:00,24.2,24.2,18.3,69.63,2.1,100,rain,,,,8.3,90.3,,71.9,,552.8,2,6,,"Rain, Partially cloudy",rain,remote
Kampala,2021-11-02T15:00:00,23.1,23.1,17.1,68.98,0,0,,,,,18.4,180,1017,30,10,415.6,1.5,4,,Partially cloudy,partly-cloudy-day,63705099999
